File,PV_list_lemmtaized,Difficulty,Duration,k1_percent,k2_percent,k3_percent,k1_2_percent,k1_3_percent,k1_4_percent,k1_5_percent,k1_6_percent,Accent,Genre,URL
AL013,"grow by, pop into, go to, look at, fall from, grow in, hear of, invent by, get for, flee to, know about, happen to, profit from, produce for, fund by, look at, play in, move on, go to",19,3.75,65,14,12,79,90,93,93,94,American,AL,https://www.youtube.com/watch?v=Xkwb8Fwtk7Q
AL014,"act as, pay on, look for, look for, lend out, sit in, wait for, lend out, keep on, see in, pay back, sum up, flow into, turn to, move on, go to",20,3.65,70,16,8,86,93,96,96,96,American,AL,https://www.youtube.com/watch?v=yijgFNHP_Io
AL015,"purchase with, put down, pay down, compare to, drop before, pay off, pay off, keep on, receive from, bring into, fall in, sound like, base on, take on, think about, go from, rise as, fall in, turn out, end up, sell to, do with, turn out, fill with, insure by, run to, pull out, come from, lend to, make up, cover by, fall off, come in, own by, drop in, think of, flee to, see in, starve of, keep on, lead to, end up, crash down, lead to, depend on, lay off, cover on, move on, go to",22,11.69,67,14,9,81,90,94,94,95,American,AL,https://www.youtube.com/watch?v=406JZ-WrA9U
AL016,"see from, average about, dip below, show by, shut down, move about, look for, look at, count as, look for, look for, divide by, go to, look at, move on, go to",18,3.08,73,12,5,86,91,94,94,94,American,AL,https://www.youtube.com/watch?v=6Yuyb88CoY4
AL017,"bear in, go to, set out, graduate with, graduate at, work on, come in, work on, smuggle in, seem like, do with, do with, recall from, work in, approve for, step into, change during, participate in, remain in, associate with, look around, move on, go to",20,4.97,66,14,9,80,89,91,91,91,American,AL,https://www.youtube.com/watch?v=K_ylLMrOkug
AL018,"worry about, stay in, be to, scare away, increase at, get out, rise at, rise at, have in, rid of, rise by, increase at, occur in, cause by, test in, cause by, click for, check out",15,4.22,68,15,7,82,89,91,91,92,American,AL,https://www.youtube.com/watch?v=IINjBu4Zkhk
AL019,"think about, take in, start with, end up, represent with, use in, label with, think about, sell in, think about, have in, buy by, return to, turn to, click for, check out",17,3.2,75,11,5,86,91,93,93,93,American,AL,https://www.youtube.com/watch?v=RT73L4Pvb9s
AL020,"rise above, plummet by, cause by, start in, grow by, cause by, worry about, run to, lead to, hold off, drop by, plunge by, fall by, increase by, cut back, fall in, contribute to, intertwine with, add to, dry up, pick up, enact in, retaliate with, throw in, fill with, click for, check out",19,7.68,63,15,12,78,89,92,92,92,American,AL,https://www.youtube.com/watch?v=mIXJlGPVcVQ
AL021,"make by, count as, convert into, write in, define as, hold by, hear of, move from, define as, see in, learn about, click for, check out",16,4.52,71,15,8,86,94,97,97,97,American,AL,https://www.youtube.com/watch?v=4eNPVwvSPiI
AL022,"operate at, operate near, spend to, crowd out, depend on, spend during, eat out, cause by, know as, save during, come by, click for, check out",22,3.03,66,16,10,82,92,95,95,95,American,AL,https://www.youtube.com/watch?v=ems4y3bCuIg
AL023,"see in, define as, look for, give up, look for, make for, hold up, look for, look at, look at, look for, look in, compare with, move on, go to",21,4.13,76,8,6,85,91,93,93,94,American,AL,https://www.youtube.com/watch?v=PcXHwxhLiqM
AL024,"cause by, look for, hear on, happen behind, eat at, pay for, turn to, move on, go to",20,3.96,73,13,6,86,92,94,94,95,American,AL,https://www.youtube.com/watch?v=6qUheji1M2g
AL025,"hover around, look at, compare to, shoot up, adjust to, respond to, fire at, fire due, change by, seem like, look at, increase with, differ from, earn in, get at, longerlaste in, move towards, riot in, trigger by, go out, fire at, take over, shut down, join by, back down, freeze out, end up, deal with, turn to, move on, go to",20,6.86,65,16,10,80,90,93,93,93,American,AL,https://www.youtube.com/watch?v=ZVYDUiz8nFE
AL026,"look at, correlate with, increase during, accompany by, lie off, correlate with, debate by, return to, spike in, grow at, return to, return to, think about, supply than, demand at, happen in, supply of, behave in, supply of, cause by, retaliate by, adjust to, return to, search for, define as, care about, tie to, move on, go to",21,5.96,66,16,10,82,92,95,95,96,American,AL,https://www.youtube.com/watch?v=dClLjkHKhB8
AL027,"look at, look at, define as, divide by, look for, increase to, fall to, vary over, add to, influence by, decrease from, decline as, hire in, drop out, benefit from, work than, drop out, retire in, account for, return to, bake in, turn to, move on, go to",19,5.67,68,17,9,84,94,95,95,95,American,AL,https://www.youtube.com/watch?v=ZikOF-88U1M
AL028,"stay in, work past, work after, pay to, look at, pay on, drop out, focus on, turn to, move on, go to",18,3.99,71,14,6,85,92,94,94,94,American,AL,https://www.youtube.com/watch?v=Uqsru4zOTYU
AL029,"welcome to, look at, reverse by, start in, look at, think about, mean by, live in",19,1.34,68,7,13,75,87,89,89,89,American,AL,https://www.youtube.com/watch?v=FIRtuk0ck3g
AL030,"talk on, go on, start by, talk about, commit in, emerge as, get on, side with, have of, think about, think about, get into, talk about, talk about, pop up, know about, learn about, bring to, kill in, say in, look at, grow up, pop up, talk about, know as, go to, accord to, accord to",17,10.08,58,13,11,72,83,86,86,87,American,AL,https://www.youtube.com/watch?v=CheHU7CgEtY
AL031,"overturn of, begin with, call at, appear on, name for, associate with, originate in, publish as, accord to, carry out, lead by, call in, motivate by, depend on, speak of, manipulate by, accord to, look at, go with, publish in, wage by, put to, count as",20,6.17,56,13,11,69,80,85,85,86,American,AL,https://www.youtube.com/watch?v=rqKTlDwwb8I
AL032,"consider by, translate to, surround by, remember from, come in, accord to, go to, come in, scrape to, go to, go to, walk down, go to, see at, go in, go to, take off, begin in, emerge out, accord to, accord to, stop in, assume throughout",21,6.2,63,12,10,75,84,87,87,88,American,AL,https://www.youtube.com/watch?v=ihbjxAKPLUY
AL033,"come to, do with, complain about, say to, feel after, do to, percolate out, write in, send to, talk about, found in, show to, resonate out, resist outside, look at, start from, focus on, go on, go on, talk about",18,6.56,59,12,13,70,83,86,86,87,American,AL,https://www.youtube.com/watch?v=lIQi4AwLjIg
AL034,"percolate out, blame for, see as, work for, gain from, pass by, publish in, go on, talk about, manipulate by, look at, look at, pale before, talk about, come to, go around, go outside, accord to, set up, argue in, struggle between, look at, accord to, manipulate by, show in, set out, deal with",21,9.39,53,13,15,66,81,85,85,87,American,AL,https://www.youtube.com/watch?v=fKHVByAZcf8
AL035,"write in, aim at, focus on, come out, succeed in, fight in, control by, see as, talk about, look at, advocate by, begin in, accord to, accord to, cause by, pull up, differ in, lay out, bear in",21,9.01,57,11,13,68,81,83,83,85,American,AL,https://www.youtube.com/watch?v=VGDBf3oshAU
AL036,"add up, find out, happen in, return to, involve in, end up, involve in, say in, vote for, agree with, come in, vote for, agitate for, get on, set up, send to, trace to, go from, look at",22,6.4,73,8,6,81,87,89,89,89,American,AL,https://www.youtube.com/watch?v=UQzc46WDkIE
AL037,"welcome to, look at, come out, mean to, mean for, change over",20,1.18,72,13,9,84,94,94,94,94,American,AL,https://www.youtube.com/watch?v=X9z7QKNSVHs
AL038,"point out, move from, move from, move to, move into, abolish in, abolish in, abolish in, move from, work on, work as, move up, fall into, begin with, depend to, base on, come along, entitle to, go on, visit from, look at, talk about, write in",20,5.99,64,12,9,76,85,87,87,87,American,AL,https://www.youtube.com/watch?v=Gp05WU9DxAk
AL039,"mean to, come out, come from, come out, come out, come out, live in, throw off, throw off, have among, look at, do like, manifest in, manifest in, talk about, separate out, know about, talk about, set up, relate to, go on, disrupt by, show before, fill with, sell away, go to, end in, dissolve throughout, turn up, go into, absorb into",21,8.57,66,13,10,79,88,90,90,90,American,AL,https://www.youtube.com/watch?v=C1_BGBxi0cE
AL040,"move into, shape by, earn on, reinforce by, assert for, deny to, serve in, live in, talk about, set up, find out, accord to, talk about, talk about, live in, go out, work in, work outside, work outside, apply to, work in, talk about, work in, deal with, point out, reserve for, flare up, imbue with",21,8.07,65,15,10,80,89,91,91,92,American,AL,https://www.youtube.com/watch?v=xFtXB_AyQYc
AL041,"go through, follow by, dispel by, turn to, have toward, search for, do on, begin in, impose by, begin with, come into, settle on, restore to, till by, take over, go to, work for, give up, take up, give up, have in, return to, greet by, send to, carry out, make to, get by, work for, leave in, point out, reveal about, go on, come down, go on, work for, continue over, go on, side with",21,8.14,64,12,10,76,86,88,88,89,American,AL,https://www.youtube.com/watch?v=zDoK8gl_oMw
AL042,"relate to, talk about, farm on, work for, work for, go on, work for, talk about, talk about, work for, get out, work for, work for, sit on, say to, begin with, go on, go to, apply to, mean by, work as, bury in, go on, work for, work on",20,7.69,63,13,10,76,86,89,89,89,American,AL,https://www.youtube.com/watch?v=TiEGepbr8qc
AL043,"relate to, arise between, produce by, forget about, develop in, start with, bring in, till by, decline after, decline in, go to, own by, take over, work on, cultivate at, enact in, go to, work for, convict of, auction off, work for, auction off, work for, embody in, obligate by, work for",17,8.06,66,12,9,78,88,90,90,90,American,AL,https://www.youtube.com/watch?v=ssefVkyYnmw
AL044,"talk about, benefit from, establish at, deal with, deal with, deal with, deal with, deal with, set up, set up, do by, scatter around, end in, set up, give out, thrust into, go into, reverse by, stand around, lead to",20,8.36,60,15,13,76,88,92,92,93,American,AL,https://www.youtube.com/watch?v=ZYNbvUsWKHY
AL045,"look at, look at, come into, end up, happen in, limited to, look at",17,1.19,68,15,9,83,92,93,93,94,American,AL,https://www.youtube.com/watch?v=rVlrhSDw7rE
AL046,"look at, deal with, nominate for, die in, assassinate up, remain in, appeal to, figure out, come into, rally around, impeach by, come within, remove from, happen as, stay with, go with, stake out, think about, fill out, work as, bear in, grow up, work as, rise to, break off, listen to, do before, destroy by, hear of",23,10.03,59,13,13,72,85,87,87,89,American,AL,https://youtu.be/Y6wQcIxfxFM
AL047,"come about, manipulate by, see in, come into, ally with, prove to, talk about, go on, suggest to, look at, talk to, exclude from, base on, execute for, determine by, say about, say about, determine by, set up, comport with, deal with, deal with, think in, rid of, count as, determine by, go to, deal with, think about, come to, determine by, set up, act like",22,8.3,63,14,11,77,88,89,89,90,American,AL,https://youtu.be/IB5-XKLxw-E
AL048,"break out, come into, see in, put into, work with, create in, look at, vote in, talk about, take over, vote to, go into, go to, get like, flock to, spring up",21,6.51,69,13,7,82,89,91,91,91,American,AL,https://www.youtube.com/watch?v=8IHBemkbVSQ
AL049,"set up, have on, float around, report on, go on, deal with, legislate about, think about, happen until, elect to, elect to, write to, lead to, listen to, come from, get to, say to, write by, jail for, die for",22,9.15,59,13,9,73,82,84,84,85,American,AL,https://www.youtube.com/watch?v=DijCIXpc1js
AL050,"write to, figure out, talk about, bring in, talk about, do with, look at, set up, believe in, do with, do about, rid of, get to, start up, oppose to, come up, get to, appeal to",21,8.31,60,15,10,75,85,87,87,87,American,AL,https://www.youtube.com/watch?v=FOoBa5iPrUg
AL051,"talk about, happen after, rid of, go on, speculate about, talk about, impeach by, pass over, work out, think in, move to, give in, establish in, put forward, establish for, look toward, go along, shelter by, go on, go on, pass over, continue until",22,7.95,61,14,12,75,87,90,90,90,American,AL,https://www.youtube.com/watch?v=nEh8as-VRjg
AL052,"pass in, bear in, get to, bear in, use in, transform into, happen as, apply to, go beyond, go to, latch onto, see about, break off, change by, talk about, exalt over, do through, agree to, halt at, stay in, go with, set up, set off",20,8.58,62,13,12,75,88,90,90,91,American,AL,https://www.youtube.com/watch?v=pGUSx7ky9_U
AL053,"look at, create for, look at, live with",21,1.06,69,12,10,81,90,90,90,91,American,AL,https://www.youtube.com/watch?v=wErsIO_9tV8
AL054,"develop between, put into, put into, repeal by, float around, go in, exconfederate out, hammer out, start out, have into, put in, interpret by, debate in, talk about, listen up, use for, buy into, talk about, base on, come out, exalt above, come out, come out",20,7.75,61,14,14,75,89,90,90,91,American,AL,https://www.youtube.com/watch?v=B53xm9Oum6w4o
AL055,"go to, default on, come to, incur in, go on, deal with, vote at, talk about, vote to, go to, introduce into, come in, go to",20,7.61,67,14,9,80,89,91,91,91,American,AL,https://www.youtube.com/watch?v=SfQbvcRlpJU
AL056,"look at, naturalize in, go to, base on, bear in, bear in, depend on, work out, come to, do with, talk about, go to, abide by, apply to, approve of, go in, interfere with, rely on, regulate by, get to, come from, go on, come from, live among, live among, patch up, dream of",20,12.34,57,14,13,72,84,87,87,87,American,AL,https://www.youtube.com/watch?v=7tLutDd9j2s
AL057,"outrage by, fight for, benefit from, galvanize by, come from, talk about, ally with, apply to, get out, go to, knock at, knock at, speak at, sit to, ally with, drive out, move to, spur by",20,9.24,60,13,12,73,85,88,88,89,American,AL,https://www.youtube.com/watch?v=AFU8LaOOSgE
AL058,"go out, ratify by, go with, injure by, break out, lead to, lead to, shoot at, happen in, talk about, lead to, ally with, send in, put down, be for, break with, go into, banter with, go on, look like",19,5.84,62,11,11,74,85,88,88,89,American,AL,https://www.youtube.com/watch?v=U8xzZDecqjw
AL059,"meet in, go for, rid of, set up, set up, base on, use to, divide up, tell in, go to, exist in, take over, accord to, base on, rule by, come out, come out",20,6.33,65,15,12,80,92,93,93,93,American,AL,https://www.youtube.com/watch?v=Af7ZEfZxDw4
AL060,"work around, issue through, shift over, rid of, come out, go through, approve by, ratify with, approve by, remove without, rid of, rid of, get to, impeach for, impeach of, come in, rid of, try before, sit in, talk to, come on, hear about, talk about, involve in, elect with, vote for, go on, end in, compare to, go on, apply in, disappoint with, work out",20,9.43,60,13,11,73,84,86,86,88,American,AL,https://www.youtube.com/watch?v=3KU45e0R-zQ
AL061,"look at, come into, come to, look at, misunderstand about, come down, cooperate with, sweep from, come to, figure out",19,1.17,71,6,10,77,87,89,89,89,American,AL,https://www.youtube.com/watch?v=hK-9zgUFBH0
AL062,"enact by, put into, base on, exist in, come to, get into, look at, deal with, deal with, see in, come to, write in, pick up, evict from, replace by, accomplish by, accord to, come after, accord to, overturn by, come out, look at, elect to, hold onto, donate to, govern by",20,7.92,63,12,10,75,85,87,87,89,American,AL,https://www.youtube.com/watch?v=Ia2sM-S0b1w
AL063,"come out, serve in, talk about, emerge out, respect in, rise to, respect for, look at, forget about, look at, come to, reproduce as, present as, hand out, talk about, matter to, do through, look at, look at, come up, talk about, open up, involve in, bear in, live in, come down, come down, open up, go into, talk about, drive from, burn down, own over, serve in, say about",21,11.51,64,15,8,79,87,89,89,91,American,AL,https://www.youtube.com/watch?v=FrVHgPxFcbc
AL064,"work out, come from, go from, study at, elect to, occupy by, leave in, serve as, serve out, provide for, study for, come to, elect to, name to, talk about, jump up, train in, come to, do for, have on, come to, practice before, go down, talk about, see as, wipe off, come to, speak in, talk about, hear of, set up, serve in, come in, go on, work in, serve in, come to",21,9.33,63,12,7,74,81,83,83,84,American,AL,https://www.youtube.com/watch?v=D3l5ccyo5-o
AL065,"educate than, get down, talk about, emerge with, speak to, sit on, stand before, sit up, listen to, appoint in, spring up, attend in, sit in, emerge in, become by, set up, come down, go into, come across, sign by, rid of, dwelt in, go on, start with, hear of, live in, talk about, go to, refer to, go on, fight among, pick up, hold to, get to, get on",21,10.71,62,15,10,76,86,89,89,90,American,AL,https://www.youtube.com/watch?v=XGEatB0-YGU
AL066,"come out, elect to, vote for, vote for, vote for, elect to, quote to, vote on, go into, purge of, go to, go to, go to, purge of, make out, come from, leave to, come down, stay in, accord to, bear in, fail in, damage during, invest in, go on, go on, come down, get to, get to, get into, come from, come in",22,10.18,59,14,9,73,82,84,84,86,American,AL,https://www.youtube.com/watch?v=onFcMzK_m2k
AL067,"elect with, tie into, go to, come to, work with, possess of, slink through, go along, accord to, do with, come along, stand up, go along, talk about, come out, 3 like, push in, go on, finish up",22,9.11,60,14,11,74,85,86,86,88,American,AL,https://www.youtube.com/watch?v=YHX--b8U7Vw
AL068,"welcome to, look at, look at, comply with, come into, look at, do on, set up, look at, deal with, look at, pioneer in, look at, exist in, do through, get to, go on",22,1.36,69,10,10,79,89,93,93,93,American,AL,https://www.youtube.com/watch?v=8-OXMEIaPX0
AL069,"look at, base on, insert in, approve by, challenge on, get into, go into, want in, deprive of, apply to, come into, consider in, come from, oppose to, take into, single out, look at, single out, oppose to, look at, hold in, rid of, happen in, fall out, varied from, appoint by, appoint by, punish by",21,7.69,64,15,12,78,90,92,92,93,American,AL,https://www.youtube.com/watch?v=nPxL-sdbv7Q
AL070,"talk about, get into, pay for, come to, set up, begin in, come down, set up, take over, expand by, come to, write about, come down, come to, treat to, talk to, get off, segregate in, come down, know about",20,6.18,69,13,8,82,90,91,91,91,American,AL,https://www.youtube.com/watch?v=k-HqznABkIs
AL071,"suffer up, set up, set up, set up, go to, exist before, resign from, conjure up, name after, apply to, discriminate on, insist on, varied from, drive by, go on, happen in, care about, go into, sit in",21,9.42,65,11,12,76,88,90,90,91,American,AL,https://www.youtube.com/watch?v=CctHXUkH1rM
AL072,"debate in, forget about, set up, set up, come out, separate in, separate from, recognize as, teach by, relate to, come out, think of, think of, deal with, kill in, take by, gather up, stand behind, hang on, work in, rent from, go out, go to, get at, work as, boil down, belong to, belong to",21,10.72,67,16,8,83,91,93,93,94,American,AL,https://www.youtube.com/watch?v=pwk1gWbiXMo
AL073,"lead to, live in, live in, look at, look like, scatter over, break up, separate out, look in, lean in, go to, scatter around, run by, go to, entrap by",22,6.43,70,13,5,83,89,91,91,92,American,AL,https://www.youtube.com/watch?v=-IUcKtrWVAs
AL074,"mention about, spread throughout, trap into, come from, move up, fall down, fall into, beholden to, see in, compound by, see in, settle up, add up, get out, get out, wipe out, balance off",22,4.94,72,12,7,84,91,93,93,94,American,AL,https://www.youtube.com/watch?v=TbL1UYXc8ac
AL075,"take away, go out, go to, sit at, trek out, operate in, skim off, pay for, skim off, pay for, bother by, kick up, rid of, kick out, give out, pay for, fall in, say before, pay for, go in, open up, come to, set up, turn out, invest in, invest in, come in, pass away, skim off, go out, stick to, gather up, say in, situate in, assist by, write to, labor to, turn out, happen with",22,12.09,64,12,10,76,86,89,89,90,American,AL,https://www.youtube.com/watch?v=IIzwCBraDbM
AL076,"talk about, start with, bandy about, talk about, stand for, focus on, reference in, make up, tap out, go on, look like, go to, look for, put into, take off, focus on, own by, control by, run in, jump in, turn out, train for, look at",18,3.56,71,9,9,79,88,90,90,91,American,AL,https://www.youtube.com/watch?v=cHjrSYoL9pw
AL077,"talk about, drive on, talk about, come from, look at, combine with, explain to, talk about, talk about, look at, look at, start with, come from, come from, come from, come from, map to",16,4.04,67,12,11,80,90,92,92,93,American,AL,https://www.youtube.com/watch?v=Yu2LC3qvs74
AL078,"talk about, think about, think about, look at, oppose to, talk about, charge on, turn out, look for, work in, go through, drive by, depend on, look for",19,3.35,75,9,4,85,89,91,91,92,American,AL,https://www.youtube.com/watch?v=qXbKOjVx2ZI
AL079,"think about, walk into, base off, start with, look for, look for, come in, work in, migrate from, join up, talk about, join up",15,2.15,84,7,5,91,96,99,99,99,American,AL,https://www.youtube.com/watch?v=UPetkNFXrxI
AL080,"talk about, have about, think about, think in, look through, perpetuate by, figure out, go to, drop out, drop out, happen by, come from, work with, do at, go to, go to, bet on, think of, bring down, work with, moderate with, lead by, make up, go on, get to, move into, go up, belong to, execute against, think of, work with, think about",21,6.43,70,11,9,81,90,92,92,94,American,AL,https://www.youtube.com/watch?v=J94JwQmf-kA
AL081,"go to, think out, think of, end up, come up, brainstorm in, lie in, talk to, find out, think of, walk in, advocate for, walk in, narrow down, see on, go out, see for, lie with",16,2.57,83,8,5,91,96,96,96,96,American,AL,https://www.youtube.com/watch?v=9s92Y6Svyrg
AL082,"talk about, lay out, focus on, take on, start with, build up, move on, think about, land on, expand out, build up",19,1.83,78,10,8,88,96,97,97,97,American,AL,https://www.youtube.com/watch?v=tj2JiTiQqjs
AL083,"passionate about, talk about, grow up, grow up, rely on, get up, get to, rigor to, grow up, create by, create by, rigor in",21,1.44,81,10,5,91,96,98,98,98,American,AL,https://www.youtube.com/watch?v=6ygezBmQrVs
AL084,"go to, start with, start about, interact with, imagine before, come up, align with, list at, involve with, apologize for, put on, focus on, do in, go down, achieve from, get from, look like, talk about, see through",19,3.09,69,12,10,81,91,93,93,94,American,AL,https://www.youtube.com/watch?v=bV888zpsuTI
AL085,"drill down, look at, apologize for, get through, look at, interact with, compute for, lay out, dig down, put in, end up, work out",20,1.68,75,9,9,84,93,95,95,95,American,AL,https://www.youtube.com/watch?v=nGPhnfJN0T0
AL086,"talk about, go from, decide with, talk about, start with, work in, work at, build up, work on, play in, look at, come from, come from, include in, look at, take in, look at, commit to, start off, look at, go from, think about",16,3.32,80,10,6,90,96,98,98,99,American,AL,https://www.youtube.com/watch?v=AvOzgmr0zzQ
AL087,"think about, do in, come in, explain to, talk about, look through, point out, speak to, do with, focus on, start with",16,2.05,82,7,7,89,96,97,97,98,American,AL,https://www.youtube.com/watch?v=bMJe6tAMgjo
AL088,"start by, put up, listen to, go on, use throughout, depend on, talk to, exist in, talk to, sound like",14,2.11,82,9,3,90,93,93,93,94,American,AL,https://www.youtube.com/watch?v=NmTlmZz37Ac
AL089,"talk about, figure out, look at, come to, come to, look like, go through, throw out, think about, throw on, work in, correspond to, focus on, sum up, come from",11,2.82,75,10,3,85,88,92,92,92,American,AL,https://www.youtube.com/watch?v=AhTv4Vbbktk
AL090,"talk about, turn out, talk about, talk about, come from, oppose to, leafs for, talk about, end in",11,1.67,79,7,1,85,86,88,88,89,American,AL,https://www.youtube.com/watch?v=vGwlBBO6_vw
AL091,"focus on, explain in, think of, make of, make of, do with, come to, look at, look like, depend on, live in, apply to, remember for, apply to, talk about, talk about, worry about, do with, come to, come to, compose of, work with, refer to, sum up, come to, come to, live in, talk to, get from, translate for, go like, travel from, flow through, get to, stop for, go into, use for, unite by, work with, converge toward",15,5.38,68,11,4,79,83,86,86,87,American,AL,https://www.youtube.com/watch?v=CZ_lwA_ynKE
AL092,"talk about, talk about, talk about, illustrate for, look like, change to, talk about, refer to, say on, refer to, refer to",15,2.82,75,12,4,87,92,94,94,94,American,AL,https://www.youtube.com/watch?v=ohZjh2M0Om8
AL093,"bring up, talk about, speak of, speak of, talk about, talk about, talk about, oppose to, talk about, talk about",12,1.52,77,8,1,86,86,87,87,90,American,AL,https://www.youtube.com/watch?v=C6JoT6VcZqU
AL094,"talk to, get into, think by, dig into, come from, come to, come to, refer to, get through, talk about, look at, pick up, talk about, pick up, tell by, pick up, look at, manifest in, get from",16,2.63,78,6,6,84,90,90,90,91,American,AL,https://www.youtube.com/watch?v=jiVJ0JS3J1o
AL095,"welcome to, explain by, turn into, turn into, worry about",12,1.71,72,6,2,78,80,83,83,83,American,AL,https://www.youtube.com/watch?v=vo6Yc3qx0Oo
AL096,"talk about, borrow into, come from, borrow into, depend on, talk to, talk about, talk about, drive along, go through, go over, encounter in, find in, care for, singular on, come in, come to",18,4.04,66,9,7,75,82,86,86,87,American,AL,https://www.youtube.com/watch?v=IH2v0aP94Bo
AL097,"talk to, go like, become in, work with, come from, get to, look at, come from, sound at, sound like, find in, exist in, deal with, turn into, turn into, turn into, drop out, replace in, drop off, leave with, go from, go over, look like, go over, jake out",18,3.91,71,8,1,79,80,83,83,84,American,AL,https://www.youtube.com/watch?v=8io7-atxtJI
AL098,bring along,15,0.84,85,6,2,91,94,95,95,95,American,AL,https://www.youtube.com/watch?v=Q2Ddty82ZA4
AL099,"talk about, oppose to, move from, refer to, throw on, talk about, figure out, sound like, listen to, sound like, operate under, get along",20,2.09,79,11,3,90,93,94,94,94,American,AL,https://www.youtube.com/watch?v=THS8NBnusjs
AL100,"talk about, happen in",12,1.16,81,8,1,90,91,92,92,92,American,AL,https://www.youtube.com/watch?v=zf04nzZiXPA
AL101,"welcome to, talk about, happen in, oppose to, singe in, happen in, know about",15,1.37,83,7,1,90,91,92,92,93,American,AL,https://www.youtube.com/watch?v=y_CfMMdPXEY
AL102,"welcome to, talk about, refer to, focus on, walk to, go to, walk to, figure out, go from, end with, end with",12,1,89,6,2,95,97,97,97,97,American,AL,https://www.youtube.com/watch?v=v6qNPLayC28
AL103,"welcome to, talk about, oppose to, talk about, talk about, put in",13,1.39,76,7,2,84,85,86,86,86,American,AL,https://www.youtube.com/watch?v=MicNR5lINHM
AL104,"talk about, talk about, bring along, mean in, throw out, happen in, depend on, get into, go on, stop at",16,1.81,82,7,4,89,93,93,93,94,American,AL,https://www.youtube.com/watch?v=HItXX2jnrH0
AL105,"talk about, write out, think of, look at, look like, appear to, smell like, smell like, smell like",16,2.22,82,11,2,93,95,95,95,95,American,AL,https://www.youtube.com/watch?v=l34ioHkQW48
